Link, Anchor Text
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/Calton_Weaver.abc", Calton_Weaver.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/CherishTheLadies-AtHome.abc", CherishTheLadies-AtHome.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/Cherish_The_Ladies-At_Home.abc", Cherish_The_Ladies-At_Home.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/ChicagoReel.abc", ChicagoReel.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/Chicago_Reel.abc", Chicago_Reel.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/ClareJig.abc", ClareJig.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/Clare_Jig.abc", Clare_Jig.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/ComingRoundTheMountain.abc", ComingRoundTheMountain.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/Coming_Round_The_Mountain.abc", Coming_Round_The_Mountain.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/CountryRoads.abc", CountryRoads.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/Country_Roads.abc", Country_Roads.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/CurraghOfKildare.abc", CurraghOfKildare.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/Curragh_Of_Kildare.abc", Curragh_Of_Kildare.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/CuttingBracken.abc", CuttingBracken.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/CuttingFerns.abc", CuttingFerns.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/Cutting_Bracken.abc", Cutting_Bracken.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/Cutting_Ferns.abc", Cutting_Ferns.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/DannyBoy.abc", DannyBoy.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/Danny_Boy.abc", Danny_Boy.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/DeckTheHalls.abc", DeckTheHalls.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/Deck_The_Halls.abc", Deck_The_Halls.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/DevilInTheKitchen.abc", DevilInTheKitchen.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/Devil_In_The_Kitchen.abc", Devil_In_The_Kitchen.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/DonnybrookFair.abc", DonnybrookFair.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/Donnybrook_Fair.abc", Donnybrook_Fair.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/DrunkenSailor.abc", DrunkenSailor.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/Drunken_Sailor.abc", Drunken_Sailor.abc
"http://trillian.mit.edu/~jc/music/abc/mirror/mindspring.com/~thornton.rose/Edelweiss.abc", Edelweiss.abc
