Link, Anchor Text
"http://www.thursdaycontra.com/~spuds/tunes/jigs/AllRage.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/AthollHigh.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/AuntMays.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/BadHair.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/BehindBush.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/Bellmans.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/BendingElbow.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/BertFerg.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/BingoWings.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/Blackthorn.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/BlueJig.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/BlueJigHarm.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/BonnieGreen.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/JoeBouchards.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/BoysAntrim.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/BridgetsBack.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/Bundle.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/CalliopeHouse.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/CatHopper.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/CatKitchen.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/ClareJig.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/CliffsMoher.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/Coleraine.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/Connaughtmans.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/CowboysJig.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/CowboysJigSimple.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/DaShaalds.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/Devlins.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/DoubtfulGuest.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/Ducksinarow.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/DustyBobs.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/EllieBonners.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/FaginsHoliday.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/FairJenny.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/FatherOFlynn.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/FatherOFlynnHarm.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/FemaleSaylor.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/FiddleHill.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/FiddlerFairyTree.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/FireJig.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/FourPotatoes.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/GeeseBog.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/GigsTwigs.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/GoToTheDevil.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/HandsomeMaidens.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/Hannys.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/Haste.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/HighPartRoad.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/HillsGlenurchie.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/Hooper.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/HundredPipers.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/Idlewild.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/IndianPoint.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/IrishWasherwoman.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/IrishmansHeart.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/JigSlurs.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/JimsJig.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/JumpSunGm.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/KatysRambles.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/KatysRamblesSimple.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/Kesh.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/KittyMcGee.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/Korolenko.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/LaMinorDohFa.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/LaMinorDohFa2.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/LadOBeirnes.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/Larksinam.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/Tourment.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/Tourment_II.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/LeafPeepers.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/LibertyBell.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/LibertyBellBass.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/LiltingBanshee.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/Lootering.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/LongHotShower.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/MaggieBrowns.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/MaisonGlace.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/MarcheCamp.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/Meadowlark.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/MillersMaggot.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/MollWad.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/Moneypockets.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/Moon7stars.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/Morrisons.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/MugBrownAle.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/MyDarlingAsleep.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/NewRiggedJig.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/Nina.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/OffSheGoes.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/OKeefesSlide.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/OldFavorite.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/Onehornsheep.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/Orphan.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/OutOcean.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/OutOceanG.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/OverCauseway.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/OysterGirl.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/PaddyFahysJig.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/PeggysBend.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/PennyHill.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/QueensJig.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/RainSnow.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/RampantToleranceAm.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/RampantToleranceFsm.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/ReverendBrother.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/RichardBrennans.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/RoadLisdoonvarna.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/RollingWaves.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/RoseinHeather.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/Rosies.abc", abc
"http://www.thursdaycontra.com/~spuds/tunes/jigs/SaddlePony.abc", abc
